RA,Nome Anonimizado,Fase,Pedra atual,INDE atual,prob_composite,faixa_risco_composite
RA-643,Aluno-643,2,Agata,6.402239075100001,0.5048,Médio
RA-127,Aluno-127,5,Topázio,8.5605939394,0.5025,Médio
RA-1629,Aluno-1629,6,Ametista,7.560550529133334,0.5024,Médio
RA-1021,Aluno-1021,1,Topázio,8.0985863636,0.5009,Médio
RA-851,Aluno-851,1,Agata,6.2114602109,0.5003,Médio
RA-1617,Aluno-1617,5,Quartzo,4.926285714266666,0.4998,Médio
RA-1603,Aluno-1603,5,Ametista,7.836518518466668,0.4993,Médio
RA-968,Aluno-968,1,Ametista,7.8403547619,0.4992,Médio
RA-935,Aluno-935,0,Topázio,8.3422,0.499,Médio
RA-837,Aluno-837,2,Ametista,7.9648467391,0.4989,Médio
RA-48,Aluno-48,7,Topázio,8.402390371800001,0.4988,Médio
RA-1449,Aluno-1449,1,Ametista,7.214341666700001,0.4987,Médio
RA-638,Aluno-638,2,Agata,6.7464878789,0.4976,Médio
RA-1141,Aluno-1141,3,Agata,6.793890866866667,0.4974,Médio
RA-712,Aluno-712,2,Agata,6.2236373706000006,0.497,Médio
